video_title,Name,publish_date,duration,total_views,total_likes,total_comment
Meet Aman Dhattarwal | Episode 1,Aman Dhattarwal,2022-05-25,00:26:30,4785815,329711,12007
Meet Himanshi Singh | Episode 2,Himanshi Singh,2022-06-01,00:23:01,4341495,256433,7162
Meet Muddassir Khan | Founder of YeBook | Episode 3,Muddassir Khan,2022-06-08,00:20:46,1660859,102423,4789
Meet MBA Chai Wala | Prafull Billore | Episode 4,MBA Chai Wala,2022-06-13,00:22:33,12260590,777808,17324
Meet Vivek Mittal | Fit Tuber | Episode 5,Vivek Mittal,2022-06-18,00:20:57,2882346,158908,5198
Meet Pranjal Kamra | Make Money From Money | Episode 6,Pranjal Kamra,2022-06-22,00:28:01,4352208,201693,5790
Meet Kanchan Keshari | Speak English With Confidence | Episode 7,Kanchan Keshari,2022-06-25,00:22:22,3915587,184268,6052
Meet Himeesh Madaan | Motivational Speaker | Episode 8,Himeesh Madaan,2022-06-30,00:21:43,1610577,108768,5615
Meet A2 Motivation | Arvind Arora | Episode 9,A2 Motivation,2022-07-06,00:20:26,4166166,316087,9542
Meet Sourav Joshi Vlogs | Episode 10,Sourav Joshi Vlogs,2022-07-08,00:21:32,9860706,754698,21672
Meet Alakh Pandey | Physics Wallah | Episode 11,Alakh Pandey,2022-07-11,00:25:11,10843092,814219,32775
Meet Stand Up Comedian Haseeb Khan | Episode 12,Stand Up Comedian Haseeb Khan,2022-07-14,00:21:11,8205849,488866,11746
Meet Abhinay Sharma | Mathematics Teacher | Episode 13,Abhinay Sharma,2022-07-18,00:22:26,4601857,307307,13779
Meet Pushkar Raj Thakur | Money Making Tips & Ideas | Episode 14,Pushkar Raj Thakur,2022-07-21,00:19:51,2969758,170908,6036
Meet Abby Viral | Motivational Rapper | Episode 15,Abby Viral,2022-07-23,00:15:51,1542300,124953,5086
Meet Rachana Ranade | Make Money From Money | Episode 16,Rachana Ranade,2022-07-28,00:21:57,2845598,149228,6180
Meet Sahil Khanna | Episode 17,Sahil Khanna,2022-07-30,00:21:49,1004778,63874,4725
Meet Jaya Kishori | Episode 18,Jaya Kishori,2022-08-02,00:28:44,9384838,604248,34823
Meet Neha Agrawal | Episode 19,Neha Agrawal,2022-08-06,00:21:15,1810627,111999,5802
Meet Anant Ladha | Make Money From Money | Episode 20,Anant Ladha,2022-08-08,00:21:49,1495523,88990,3958
Meet Coach BSR | Episode 21,Coach BSR,2022-08-11,00:20:21,879155,53648,3262
